srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,chaddr,,,host name,,,vendor class identifier,,,flags,,,giaddr,,,opcode,,,yiaddr,,,htype,,,xid,,,ciaddr,,,siaddr,,,sname,,,secs,,,hops,,,parameter request list,,,hlen,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.1,,,17,,,68,,,67,,,18b79e022044,,,,,,696e766f7869612f7472696279,,,0000,,,00000000,,,01,,,00000000,,,01,,,c768f569,,,c0a80178,,,00000000,,,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,0000,,,00,,,011c02030f060c,,,06,,
null,,,null,,,0x0800,,,192.168.0.120,,,192.168.1.1,,,17,,,68,,,67,,,18b79e022044,,,,,,696e766f7869612f7472696279,,,0000,,,00000000,,,01,,,00000000,,,01,,,2c479e20,,,c0a80078,,,00000000,,,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,0000,,,00,,,,,,06,,
null,,,null,,,0x0800,,,192.168.1.120,,,192.168.1.2,,,17,,,68,,,67,,,18b79e022044,,,,,,696e766f7869612f7472696279,,,0000,,,00000000,,,01,,,00000000,,,01,,,cae32e55,,,c0a80178,,,00000000,,,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,0000,,,00,,,,,,06,,
null,,,null,,,0x0800,,,0.0.0.0,,,255.255.255.255,,,17,,,68,,,67,,,18b79e022044,,,,,,696e766f7869612f7472696279,,,0000,,,00000000,,,01,,,00000000,,,01,,,7dbce448,,,00000000,,,00000000,,,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,0000,,,00,,,011c02030f060c,,,06,,
