srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,chaddr,,,host name,,,vendor class identifier,,,flags,,,giaddr,,,opcode,,,yiaddr,,,htype,,,xid,,,ciaddr,,,siaddr,,,sname,,,secs,,,hops,,,parameter request list,,,hlen,,
null,,,null,,,0x0800,,,0.0.0.0,,,255.255.255.255,,,17,,,68,,,67,,,884aea31669d,,,,,,,,,8000,,,00000000,,,01,,,00000000,,,01,,,1fbfa7c6,,,00000000,,,00000000,,,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,0000,,,00,,,010306,,,06,,
null,,,null,,,0x0800,,,192.168.1.221,,,192.168.1.1,,,17,,,68,,,67,,,884aea31669d,,,���W���,,,0000000000,,,0000,,,00000000,,,01,,,00000000,,,01,,,d2040000,,,c0a801dd,,,00000000,,,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,0000,,,00,,,010306,,,06,,
